Table Name: Square$RecordAll$domain0, Topic Name: Square
Timestamp,color,x,y,shapesize,fillKind,angle
Tue May 04 10:10:40 2021,GREEN,207,226,30,0,0.0000000000
Tue May 04 10:10:40 2021,RED,108,235,30,0,0.0000000000
Tue May 04 10:10:40 2021,GREEN,209,224,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,111,240,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,211,222,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,114,245,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,213,220,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,117,250,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,215,218,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,120,250,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,217,216,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,123,245,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,219,214,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,126,240,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,220,212,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,129,235,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,218,210,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,132,230,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,216,208,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,135,225,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,214,206,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,138,220,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,212,204,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,141,215,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,210,202,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,144,210,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,208,200,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,147,205,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,206,198,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,150,200,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,204,196,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,153,195,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,202,194,30,0,0.0000000000
Tue May 04 10:10:41 2021,RED,156,190,30,0,0.0000000000
Tue May 04 10:10:41 2021,GREEN,200,192,30,0,0.0000000000
Tue May 04 10:10:42 2021,RED,159,185,30,0,0.0000000000
Tue May 04 10:10:42 2021,GREEN,198,190,30,0,0.0000000000
Tue May 04 10:10:42 2021,RED,162,180,30,0,0.0000000000
Tue May 04 10:10:42 2021,GREEN,196,188,30,0,0.0000000000
Tue May 04 10:10:42 2021,RED,165,175,30,0,0.0000000000
Tue May 04 10:10:42 2021,GREEN,194,186,30,0,0.0000000000
Tue May 04 10:10:42 2021,RED,168,170,30,0,0.0000000000
Tue May 04 10:10:42 2021,GREEN,192,184,30,0,0.0000000000
Tue May 04 10:10:42 2021,RED,171,165,30,0,0.0000000000
Tue May 04 10:10:42 2021,GREEN,190,182,30,0,0.0000000000
Tue May 04 10:10:42 2021,RED,174,160,30,0,0.0000000000
