Table Name: Circle$RecordAll$domain0, Topic Name: Circle
Timestamp,color,x,y,shapesize,fillKind,angle
Tue May 04 10:10:43 2021,YELLOW,131,183,30,0,0.0000000000
Tue May 04 10:10:43 2021,YELLOW,133,189,30,0,0.0000000000
Tue May 04 10:10:43 2021,YELLOW,135,195,30,0,0.0000000000
Tue May 04 10:10:43 2021,YELLOW,137,201,30,0,0.0000000000
Tue May 04 10:10:43 2021,YELLOW,139,207,30,0,0.0000000000
Tue May 04 10:10:43 2021,YELLOW,141,213,30,0,0.0000000000
Tue May 04 10:10:43 2021,YELLOW,143,219,30,0,0.0000000000
Tue May 04 10:10:43 2021,YELLOW,145,225,30,0,0.0000000000
Tue May 04 10:10:43 2021,YELLOW,147,231,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,149,237,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,151,243,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,153,249,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,155,250,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,157,244,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,159,238,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,161,232,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,163,226,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,165,220,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,167,214,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,169,208,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,171,202,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,173,196,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,175,190,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,177,184,30,0,0.0000000000
Tue May 04 10:10:44 2021,YELLOW,179,178,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,181,172,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,183,166,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,185,160,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,187,154,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,189,148,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,191,142,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,193,136,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,195,130,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,197,124,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,199,118,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,201,112,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,203,106,30,0,0.0000000000
Tue May 04 10:10:45 2021,YELLOW,205,100,30,0,0.0000000000
